study,treat,outcome,se,ci_lo,ci_hi
1,Placebo,-1.22,0.504,-2.20784,-0.23216000000000003
1,Ropinirole,-1.53,0.439,-2.39044,-0.66956
2,Placebo,-0.7,0.282,-1.25272,-0.14727999999999997
2,Pramipexole,-2.4,0.258,-2.90568,-1.89432
3,Placebo,-0.3,0.505,-1.2898,0.6898
3,Pramipexole,-2.6,0.51,-3.5996,-1.6004
3,Bromocriptine,-1.2,0.478,-2.1368799999999997,-0.26312
4,Ropinirole,-0.24,0.265,-0.7594,0.2794
4,Bromocriptine,-0.59,0.354,-1.2838399999999999,0.10383999999999993
5,Ropinirole,-0.73,0.335,-1.3866,-0.07339999999999991
5,Bromocriptine,-0.18,0.442,-1.04632,0.68632
6,Bromocriptine,-2.2,0.197,-2.58612,-1.8138800000000002
6,Cabergoline,-2.5,0.19,-2.8724,-2.1276
7,Bromocriptine,-1.8,0.2,-2.192,-1.408
7,Cabergoline,-2.1,0.25,-2.59,-1.61
