"comparison","TE","seTE","lower","upper","statistic","p"
"Bromocriptine:Cabergoline",0.300000000000001,0.208037252004595,-0.107745521371689,0.707745521371691,1.44204942676985,0.149288430533868
"Bromocriptine:Placebo",-0.523513306856099,0.478786132077622,-1.46191688202548,0.414890268313277,-1.0934178577487,0.274210376405696
"Bromocriptine:Pramipexole",1.28782719815022,0.522148118303035,0.264435691680915,2.31121870461953,2.46640206678446,0.013647804321769
"Bromocriptine:Ropinirole",-0.0452437779152655,0.323301421965541,-0.678902921118313,0.588415365287782,-0.139943021717015,0.888705009307486
"Cabergoline:Placebo",-0.8235133068561,0.522030323344797,-1.8466739394497,0.199647325737501,-1.57752005971533,0.114675910142159
"Cabergoline:Pramipexole",0.987827198150222,0.562065970922474,-0.113801861793364,2.08945625809381,1.75749333575377,0.0788337567745946
"Cabergoline:Ropinirole",-0.345243777915266,0.3844519575533,-1.09875576850566,0.408268212675123,-0.898015398627284,0.369177340078764
"Pramipexole:Placebo",-1.81134050500632,0.332377142525426,-2.46278773364049,-1.15989327637215,-5.44965424289897,5.04678378045332e-08
"Ropinirole:Placebo",-0.478269528940834,0.486800438052592,-1.43238085518224,0.475841797300569,-0.982475551694477,0.325865621683835
"Pramipexole:Ropinirole",-1.33307097606549,0.542712023042024,-2.39676699520473,-0.269374956926251,-2.45631369762793,0.0140370564413206
